leanbun-approval-macos	leanbun-core,leanbun-evidence,leanbun-macos-acl-sys,leanbun-package,leanbun-plan
leanbun-build	leanbun-core,leanbun-generation,leanbun-lake-bridge,leanbun-package,leanbun-resolver,leanbun-store
leanbun-core	
leanbun-evidence	leanbun-core
leanbun-generation	leanbun-core,leanbun-lake-bridge,leanbun-package,leanbun-resolver,leanbun-store
leanbun-lake-bridge	leanbun-core,leanbun-evidence,leanbun-package
leanbun-macos-acl-sys	
leanbun-managed	leanbun-build,leanbun-core,leanbun-evidence,leanbun-generation,leanbun-lake-bridge,leanbun-package,leanbun-resolver,leanbun-store
leanbun-package	leanbun-core,leanbun-evidence
leanbun-plan	leanbun-core,leanbun-evidence,leanbun-package
leanbun-resolver	leanbun-core,leanbun-lake-bridge,leanbun-package
leanbun-state	leanbun-core,leanbun-evidence
leanbun-store	leanbun-core,leanbun-lake-bridge,leanbun-package,leanbun-resolver
