target_crate	symbol	current_source
leanbun-lock	CanonicalSourceUrlV1	rust/crates/leanbun-package/src/lock_v1.rs
leanbun-lock	LeanBunLockV1	rust/crates/leanbun-package/src/lock_v1.rs
leanbun-lock	LeanBunLockV1Error	rust/crates/leanbun-package/src/lock_v1.rs
leanbun-lock	LeanBunLockV1ErrorKind	rust/crates/leanbun-package/src/lock_v1.rs
leanbun-lock	LockedLeanPackageV1	rust/crates/leanbun-package/src/lock_v1.rs
leanbun-lock	PackageDependencyV1	rust/crates/leanbun-package/src/lock_v1.rs
leanbun-lock	PackageKeyV1	rust/crates/leanbun-package/src/lock_v1.rs
leanbun-lock	PackagePathDecisionSetV1	rust/crates/leanbun-package/src/lock_v1.rs
leanbun-lock	PackagePathDecisionV1	rust/crates/leanbun-package/src/lock_v1.rs
leanbun-lock	PackagePathProvenanceKindV1	rust/crates/leanbun-package/src/lock_v1.rs
leanbun-lock	PackagePathProvenanceSetV1	rust/crates/leanbun-package/src/lock_v1.rs
leanbun-lock	PackagePathProvenanceV1	rust/crates/leanbun-package/src/lock_v1.rs
leanbun-lock	RequestedPackageSourceV1	rust/crates/leanbun-package/src/lock_v1.rs
leanbun-lock	ResolvedPackageSourceV1	rust/crates/leanbun-package/src/lock_v1.rs
leanbun-inventory-legacy	MAX_INVENTORY_PACKAGES	rust/crates/leanbun-package/src/lib.rs
leanbun-inventory-legacy	GitRevision	rust/crates/leanbun-package/src/lib.rs
leanbun-inventory-legacy	CheckoutObservationStateV1	rust/crates/leanbun-package/src/lib.rs
leanbun-inventory-legacy	PackageCheckoutObservationV1	rust/crates/leanbun-package/src/lib.rs
leanbun-inventory-legacy	DeclaredPackageSourceV1	rust/crates/leanbun-package/src/lib.rs
leanbun-inventory-legacy	ProviderPackageRegistrationV1	rust/crates/leanbun-package/src/lib.rs
leanbun-inventory-legacy	PackageInventoryEntryV1	rust/crates/leanbun-package/src/lib.rs
leanbun-inventory-legacy	PackageInventoryV1	rust/crates/leanbun-package/src/lib.rs
leanbun-inventory-legacy	DependencyDriftKindV1	rust/crates/leanbun-package/src/lib.rs
leanbun-inventory-legacy	DependencyDriftFindingV1	rust/crates/leanbun-package/src/lib.rs
leanbun-inventory-legacy	PackageDependencyDriftV1	rust/crates/leanbun-package/src/lib.rs
leanbun-inventory-legacy	DependencyDriftSummaryV1	rust/crates/leanbun-package/src/lib.rs
leanbun-inventory-legacy	DependencyDriftReportV1	rust/crates/leanbun-package/src/lib.rs
leanbun-inventory-legacy	PackageInventoryError	rust/crates/leanbun-package/src/lib.rs
leanbun-inventory-legacy	build_package_inventory	rust/crates/leanbun-package/src/lib.rs
leanbun-inventory-legacy	report_dependency_drift	rust/crates/leanbun-package/src/lib.rs
leanbun-inventory-legacy	PackageInventorySnapshotDigestV1	rust/crates/leanbun-package/src/snapshot.rs
leanbun-inventory-legacy	PackageInventorySnapshotError	rust/crates/leanbun-package/src/snapshot.rs
leanbun-inventory-legacy	package_inventory_snapshot_digest_v1	rust/crates/leanbun-package/src/snapshot.rs
