projectPath	/fixture/project
state	provider-bound
toolchain	leanprover/lean4:v4.32.0
toolchainSha256	0000000000000000000000000000000000000000000000000000000000000000
manifestSha256	1111111111111111111111111111111111111111111111111111111111111111
overrideSha256	2222222222222222222222222222222222222222222222222222222222222222
providerRegistrySha256	3333333333333333333333333333333333333333333333333333333333333333
providerOverrideSha256	2222222222222222222222222222222222222222222222222222222222222222
package	mathlib	git	81a5d257c8e410db227a6665ed08f64fea08e997	/isolated/packages/mathlib
package	Qq	git	38d591e778f100aec9762bb582f9c7f55f50e9dc	/isolated/packages/Qq
projectId	c32fe4e9adb318f7e52427c338c6b6c8079f12fa40b5f29423de8e7a7214e08b
digest	0f37f3b987d494f9944fa571723cf64a78a2c1307f9d8b6f90aa9eecdd9d1426
